Area,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
,,,,,,,,,,,,,
86.15㎡,中环一号(一期),简装,有,高楼层 (共14层),21,南,,宝山,大华,,460,2室2厅1厨1卫,53396
,,,,,,,,,,,,,
145.85㎡,和欣国际花园,精装,有,高楼层 (共17层),14,南,,宝山,共康,,880,4室2厅1厨2卫,60336
,,,,,,,,,,,,,
56.7㎡,共康五村,简装,无,高楼层 (共4层),74,南 北,,宝山,共康,,225,2室1厅1厨1卫,39683
,,,,,,,,,,,,,
87.54㎡,四季绿城,精装,无,低楼层 (共6层),11,南 北,,宝山,高境,,465,2室2厅1厨1卫,53119
,,,,,,,,,,,,,
117.37㎡,象屿郦庭,精装,有,高楼层 (共13层),66,南 北,,宝山,高境,,670,3室2厅1厨2卫,57085
,,,,,,,,,,,,,
93.16㎡,水岸蓝桥(公寓),精装,有,高楼层 (共14层),34,南 北,,宝山,大华,,650,2室1厅1厨1卫,69773
,,,,,,,,,,,,,
65.43㎡,好旺花苑,精装,无,高楼层 (共6层),187,南,,宝山,大华,,300,2室1厅1厨1卫,45851
,,,,,,,,,,,,,
68.9㎡,高境一村,精装,无,高楼层 (共6层),17,南,,宝山,高境,,328,2室1厅1厨1卫,47606
,,,,,,,,,,,,,
63.03㎡,淞南四村,简装,无,中楼层 (共6层),172,南,,宝山,淞南,,256,2室1厅1厨1卫,40616
,,,,,,,,,,,,,
97.77㎡,上置香岛原墅(公寓),精装,有,高楼层 (共9层),14,南,,宝山,罗店,,310,2室2厅1厨1卫,31708
,,,,,,,,,,,,,
75.5㎡,馨佳园(韶山路245弄),精装,有,高楼层 (共16层),26,南,,宝山,顾村,,320,2室1厅1厨1卫,42385
,,,,,,,,,,,,,
74.35㎡,信达郡庭,精装,无,中楼层 (共4层),64,西南,,宝山,罗店,,320,2室2厅1厨1卫,43040
,,,,,,,,,,,,,
81.7㎡,菊泉新城(陆翔路678弄),毛坯,有,低楼层 (共11层),13,南,,宝山,顾村,,286,2室2厅1厨1卫,35007
,,,,,,,,,,,,,
55㎡,富秀苑,精装,无,中楼层 (共6层),43,南,,宝山,罗店,,178,1室1厅1厨1卫,32364
,,,,,,,,,,,,,
89.8㎡,铂金华府,简装,无,低楼层 (共6层),9,南 北,,宝山,大华,,618,2室2厅1厨2卫,68820
,,,,,,,,,,,,,
59.48㎡,华浜新村,精装,无,中楼层 (共6层),28,南,,宝山,淞南,,250,2室1厅1厨1卫,42031
,,,,,,,,,,,,,
71.06㎡,淞滨路765弄,简装,无,中楼层 (共6层),6,南,,宝山,淞宝,,290,2室1厅1厨1卫,40811
,,,,,,,,,,,,,
78.89㎡,菊泉新城(陆翔路678弄),精装,无,中楼层 (共5层),143,南 北,,宝山,顾村,,267,2室2厅1厨1卫,33845
