Area,BuildStruc,BuildType,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
86.15㎡,钢混结构,板楼,中环一号(一期),简装,有,高楼层 (共14层),37,南,,宝山,大华,,460,2室2厅1厨1卫,53396
56.75㎡,砖混结构,板楼,永清新村,毛坯,无,中楼层 (共6层),8,南,,宝山,淞宝,,219,2室1厅1厨1卫,38591
64.44㎡,砖混结构,板楼,北华苑,简装,无,高楼层 (共6层),17,南,,宝山,大华,,316,2室1厅1厨1卫,49038
83.53㎡,钢混结构,板楼,远景佳苑二期,精装,无,低楼层 (共6层),46,南,,宝山,大华,,499,2室2厅1厨1卫,59740
95.3㎡,未知结构,暂无数据,保利叶上海(二期),毛坯,有,中楼层 (共24层),60,东,,宝山,顾村,,440,3室2厅1厨2卫,46170
58.6㎡,砖混结构,板楼,久千公寓,简装,无,中楼层 (共6层),24,南,,宝山,高境,,268,2室1厅1厨1卫,45734
88㎡,钢混结构,板楼,经纬城市绿洲,简装,有,低楼层 (共14层),21,南 北,,宝山,上大,,428,2室2厅1厨1卫,48637
73.14㎡,钢混结构,板楼,古北菊翔苑(菊联路233弄),精装,无,高楼层 (共6层),42,南 北,,宝山,顾村,,305,2室1厅1厨1卫,41701
93.85㎡,钢混结构,板楼,新天地荻泾花园,毛坯,有,低楼层 (共16层),32,南 北,,宝山,顾村,,348,3室2厅1厨1卫,37081
87.52㎡,砖混结构,板楼,天极盛宅花园,毛坯,无,低楼层 (共6层),1,南,,宝山,顾村,,270,2室2厅1厨1卫,30851
87.21㎡,未知结构,暂无数据,保利叶上海(二期),精装,有,低楼层 (共30层),5,南 北,,宝山,顾村,,445,3室2厅1厨2卫,51027
76.8㎡,砖混结构,板楼,淞南新新五村,精装,无,高楼层 (共6层),24,南,,宝山,淞南,,318,2室1厅1厨1卫,41407
78㎡,砖混结构,板楼,祁连二村,简装,无,中楼层 (共6层),20,南 北,,宝山,上大,,315,2室1厅1厨1卫,40385
123.42㎡,钢混结构,板塔结合,保利叶语(二期)(公寓),简装,有,中楼层 (共17层),33,西,,宝山,顾村,,615,4室2厅1厨2卫,49830
50㎡,砖混结构,板楼,盛桥二村,简装,无,中楼层 (共5层),14,南,,宝山,月浦,,120,2室1厅1厨1卫,24000
90.33㎡,钢混结构,板楼,嘉城国际花园,精装,暂无数据,低楼层 (共24层),4,南,,宝山,月浦,,340,2室2厅1厨1卫,37640
46.24㎡,砖混结构,板楼,淞滨路803弄,简装,无,中楼层 (共6层),4,南,,宝山,淞宝,,170,1室1厅1厨1卫,36765
74.35㎡,钢混结构,板楼,信达郡庭,其他,无,高楼层 (共4层),2,西,,宝山,罗店,,450,4室2厅1厨2卫,60525
